strada;desvia;percorso;lato;tratto;note;data pulizia;orario pulizia inizio;orario pulizia fine;divieto di sosta inizio;divieto di sosta fine;data posizionamento segnaletica;data prima pubblicazione;data aggiornamento
1600;VIA CARD. C. MADRUZZO;16;entrambi;da incrocio Via 24 Maggio e Via Santa Croce;da incrocio Via 24 Maggio e Via Santa Croce;07/10/20;20.15;4.00;19.00;5.00;05/10/20;28/09/20;
1830;VIA P. A. MATTIOLI;16;entrambi;;;07/10/20;20.15;4.00;19.00;5.00;05/10/20;28/09/20;
2950;VIA SANTA CROCE;16;entrambi;;;07/10/20;20.15;4.00;19.00;5.00;05/10/20;28/09/20;
760;VIA DAMIANO CHIESA;16;entrambi;;;07/10/20;20.15;4.00;19.00;5.00;05/10/20;28/09/20;
1140;VIA F. FILZI;16;entrambi;;;07/10/20;20.15;4.00;19.00;5.00;05/10/20;28/09/20;
1610;VICOLO CARD. C. MADRUZZO;16;entrambi;;;07/10/20;20.15;4.00;19.00;5.00;05/10/20;28/09/20;
2330;VIA F.LLI PERINI;16;nord;;;07/10/20;20.15;4.00;19.00;5.00;05/10/20;28/09/20;
3350;CORSO 3 NOVEMBRE;16;entrambi;compresi vialetti interni;compresi vialetti interni;07/10/20;20.15;4.00;19.00;5.00;05/10/20;28/09/20;
460;VIA F.LLI BRONZETTI;16;entrambi;;;07/10/20;20.15;4.00;19.00;5.00;05/10/20;28/09/20;
3450;VIALE VERONA;33;entrambi;da incrocio Via A. Fogazzaro a incrocio rotonda Via A. Degasperi;da incrocio Via A. Fogazzaro a incrocio rotonda Via A. Degasperi;08/10/20;20.15;4.00;19.00;5.00;06/10/20;28/09/20;
3817;VIA DI MADONNA BIANCA;33;entrambi;;;08/10/20;20.15;4.00;19.00;5.00;06/10/20;28/09/20;
290;VIA A. BETTINI;33;entrambi;;;08/10/20;20.15;4.00;19.00;5.00;06/10/20;28/09/20;
1810;VIA C. MARTINI;18;entrambi;;;09/10/20;20.15;2.30;19.00;5.00;07/10/20;28/09/20;
3500;VIA A. VIVALDI;18;entrambi;;;09/10/20;20.15;2.30;19.00;5.00;07/10/20;28/09/20;
3901;VIA G. MATTEOTTI;18;nord;;;09/10/20;20.15;2.30;19.00;5.00;07/10/20;28/09/20;
2680;VIALE ROVERETO;18;entrambi;;;09/10/20;20.15;2.30;19.00;5.00;07/10/20;28/09/20;
2330;VIA F.LLI PERINI;18;sud;;;09/10/20;20.15;2.30;19.00;5.00;07/10/20;28/09/20;
3530;VIA R. ZANDONAI;18;entrambi;;;09/10/20;20.15;2.30;19.00;5.00;07/10/20;28/09/20;
3510;VIA VITTORIO VENETO;18;entrambi;da via Mattioli a via 3 Novembre;da via Mattioli a via 3 Novembre;09/10/20;20.15;2.30;19.00;5.00;07/10/20;28/09/20;
10;VIA C. ABBA;19;entrambi;;;12/10/20;20.15;4.00;19.00;5.00;08/10/20;28/09/20;
1720;VIA DELLA MANTOVANA;19;entrambi;;;12/10/20;20.15;4.00;19.00;5.00;08/10/20;28/09/20;
940;VIA DIETRO LE MURA A;19;entrambi;;;12/10/20;20.15;4.00;19.00;5.00;08/10/20;28/09/20;
1130;PIAZZA DI FIERA;19;entrambi;;;12/10/20;20.15;4.00;19.00;5.00;08/10/20;28/09/20;
1630;VIA B. MALFATTI;19;entrambi;;;12/10/20;20.15;4.00;19.00;5.00;08/10/20;28/09/20;
2370;VIA PIAVE;19;entrambi;;;12/10/20;20.15;4.00;19.00;5.00;08/10/20;28/09/20;
2520;VIA G. A PRATO;19;entrambi;;;12/10/20;20.15;4.00;19.00;5.00;08/10/20;28/09/20;
2730;VIA SAN BERNARDINO;19;entrambi;;;12/10/20;20.15;4.00;19.00;5.00;08/10/20;28/09/20;
2780;VIA SAN GIOVANNI BOSCO;19;entrambi;;;12/10/20;20.15;4.00;19.00;5.00;08/10/20;28/09/20;
1900;VIA DEI MILLE;19;sud;compreso parcheggio numeri civici 33, 35, 37, 39, 41;compreso parcheggio numeri civici 33, 35, 37, 39, 41;12/10/20;20.15;4.00;19.00;5.00;08/10/20;28/09/20;
3905;VIA EDDA ALBERTINI;19;entrambi;;;12/10/20;20.15;4.00;19.00;5.00;08/10/20;28/09/20;
1340;VIA B. GIOVANELLI;20;entrambi;;;13/10/20;20.15;4.00;19.00;5.00;09/10/20;28/09/20;
1900;VIA DEI MILLE;20;nord;;;13/10/20;20.15;4.00;19.00;5.00;09/10/20;28/09/20;
3360;VIALE TRIESTE;20;entrambi;;;13/10/20;20.15;4.00;19.00;5.00;09/10/20;28/09/20;
