DATA PULIZIA,CODICE VIA,PERCORSO,Via,DIVIETO DI SOSTA INIZIO,DIVIETO DI SOSTA FINE,NOTE
18/05/2018,2920,,Via San Vigilio,19:00,05:00,lavaggio a mano con idrante
18/05/2018,876,,Vicolo Dei Dall'armi,19:00,05:00,lavaggio a mano con idrante
18/05/2018,3520,,Vicolo Del Vo',19:00,05:00,lavaggio a mano con idrante
18/05/2018,60,,Vicolo Dell'adige,19:00,05:00,lavaggio a mano con idrante
18/05/2018,1190,,Vicolo Galasso,19:00,05:00,lavaggio a mano con idrante
21/05/2018,1950,29,Lungadige Monte Grappa,19:00,05:00,
21/05/2018,2390,29,Piazza Di Piedicastello,19:00,05:00,
21/05/2018,430,29,Via Brescia,19:00,05:00,
21/05/2018,560,29,Via G. Canestrini,19:00,05:00,(1 ENTRATA) parcheggio ex Sit
21/05/2018,2230,29,Via Papiria,19:00,05:00,
21/05/2018,2900,29,Via R. Da Sanseverino,19:00,05:00,
21/05/2018,3460,29,Via Verruca,19:00,05:00,compreso Piazzale ingresso Doss Trento
22/05/2018,5300,30,Loc. Roncafort ,19:00,05:00,
22/05/2018,3780,30,Via A. Detassis,19:00,05:00,
22/05/2018,3501,30,Via Centochiavi,19:00,05:00,
22/05/2018,5595,30,Via Di Melta ,19:00,05:00,
22/05/2018,3750,30,Via Don Lorenzo Guetti,19:00,05:00,
22/05/2018,1570,30,Via E. Maccani,19:00,05:00,dalla rotatoria fino a rotatoria Roncafort
22/05/2018,5420,30,Via G. Caproni,19:00,05:00,
22/05/2018,3610,30,Via Maestri Del Lavoro,19:00,05:00,
22/05/2018,3680,30,Via Vittime Delle Foibe,19:00,05:00,
23/05/2018,5615,31,Via 25 Aprile,19:00,05:00,
23/05/2018,5010,31,Via Aeroporto,19:00,05:00,dal cimitero al sottopasso
23/05/2018,5038,31,Via Avisio,19:00,05:00,
23/05/2018,5040,31,Via Bassa,19:00,05:00,
23/05/2018,3900,31,Via Brunner,19:00,05:00,
23/05/2018,400,31,Via Del Brennero,19:00,05:00,fino a Via Ambrosi (dal Tridente)
23/05/2018,5610,31,Via Don Lorenzo Milani,19:00,05:00,
23/05/2018,5520,31,Via Marco Pola,19:00,05:00,
23/05/2018,5101,31,Via Sant'anna,19:00,05:00,
23/05/2018,5340,31,Via Soprasasso,19:00,05:00,
23/05/2018,3507,31,Via Unterveger,19:00,05:00,
24/05/2018,5500,32,Piazza Della Liberta',19:00,05:00,
24/05/2018,5400,32,Piazzale Neufahrn,19:00,05:00,
24/05/2018,5470,32,Via 2 Giugno,19:00,05:00,
24/05/2018,5290,32,Via 4 Novembre,19:00,05:00,fino alla piazza
24/05/2018,5440,32,Via 8 Marzo,19:00,05:00,
24/05/2018,5010,32,Via Aeroporto,19:00,05:00,dietro Chiesa
24/05/2018,5645,32,Via Laurence Feininger,19:00,05:00,
24/05/2018,5785,32,Via Isarco,19:00,05:00,
24/05/2018,5260,32,Via Paludi,19:00,05:00,
25/05/2018,290,33,Via A. Bettini,19:00,05:00,
25/05/2018,3450,33,Viale Verona,19:00,05:00,da via Fogazzaro a Madonna Bianca
25/05/2018,3817,33,Viale Verona – Via Di Madonna Bianca,19:00,05:00,da via Degasperi a McDonald's: via di madonna bianca
