strada;desvia;percorso;lato;tratto;note;data pulizia;orario pulizia inizio;orario pulizia fine;divieto di sosta inizio;divieto di sosta fine;data posizionamento segnaletica;data prima pubblicazione;data aggiornamento
2550;VIA G. RANZI;22;entrambi;;;26/10/2023;20.15;04.00;19.00;05.00;24/10/2023;13/10/2023;
1380;VIA GORIZIA;22;entrambi;da incrocio Piazza Vicenza a  Via Regina Pacis;;26/10/2023;20.15;04.00;19.00;05.00;24/10/2023;13/10/2023;
150;VIA L. ANZOLETTI;22;est;lato est;;26/10/2023;20.15;04.00;19.00;05.00;24/10/2023;13/10/2023;
1890;VIA MILANO;22;nord;lato nord;;26/10/2023;20.15;04.00;19.00;05.00;24/10/2023;13/10/2023;
280;VIA O. BENEVOLI;22;entrambi;;;26/10/2023;20.15;04.00;19.00;05.00;24/10/2023;13/10/2023;
410;VIA O. BRENTARI;22;entrambi;;;26/10/2023;20.15;04.00;19.00;05.00;24/10/2023;13/10/2023;
2570;VIA REGINA PACIS;22;entrambi;;;26/10/2023;20.15;04.00;19.00;05.00;24/10/2023;13/10/2023;
3270;VIA TOFANE;22;entrambi;;;26/10/2023;20.15;04.00;19.00;05.00;24/10/2023;13/10/2023;
340;VIALE N. BOLOGNINI;22;entrambi;da Ponte dei Mille al civico 96 ;;26/10/2023;20.15;04.00;19.00;05.00;24/10/2023;13/10/2023;
975;L.GO DONATORI VOL. SANGUE;23;entrambi;;;27/10/2023;20.15;02.30;19.00;05.00;25/10/2023;13/10/2023;
1850;LARGO MEDAGLIE D'ORO;23;entrambi;;;27/10/2023;20.15;02.30;19.00;05.00;25/10/2023;13/10/2023;
3470;PIAZZA VICENZA;23;entrambi;da incrocio Via Vicenza a Via Pasubio;;27/10/2023;20.15;02.30;19.00;05.00;25/10/2023;13/10/2023;
920;VIA AL DESERT;23;entrambi;;;27/10/2023;20.15;02.30;19.00;05.00;25/10/2023;13/10/2023;
1310;VIA DELLE GHIAIE;23;entrambi;rotonda all'incrocio con Via A. Degasperi;;27/10/2023;20.15;02.30;19.00;05.00;25/10/2023;13/10/2023;
1300;VIA G. GEROLA;23;entrambi;;;27/10/2023;20.15;02.30;19.00;05.00;25/10/2023;13/10/2023;
2090;VIA G. ONESTINGHEL;23;entrambi;;;27/10/2023;20.15;02.30;19.00;05.00;25/10/2023;13/10/2023;
